Year,Unemployment,Inflation
1980,13.057,6.349
1981,13.333,7.438
1982,11.978,8.069
1983,9.46,7.15
1984,7.674,8.525
1985,5.831,8.958
1986,2.539,9.092
1987,3.289,9.267
1988,2.701,8.833
1989,3.498,8.358
1990,3.3,8.008
1991,3.4,8.433
1992,2.458,9.333
1993,2.234,10.567
1994,1.662,11.1
1995,1.769,10.525
1996,2.1,10.95
1997,1.282,11.142
1998,0.669,10.75
1999,0.565,10.375
2000,1.828,9.008
2001,1.783,8.175
2002,1.939,8.308
2003,2.168,8.925
2004,2.338,9.292
2005,1.899,9.275
2006,1.915,9.225
2007,1.608,8.375
2008,3.161,7.775
2009,0.103,9.517
2010,1.733,9.725
2011,2.291,9.6
2012,2.218,10.242
2013,0.992,10.808
2014,1,11.044
2015,1.228,10.739
2016,1.3,10.317
2017,1.43,9.959
2018,1.53,9.783
2019,1.62,9.783
